Name,Description,
Abatement,"A reduction or elimination of a real or personal property tax, motor vehicle excise, a fee, charge, or special assessment imposed by a governmental unit. Granted only on application of the person seeking the abatement and only by the committing governmental unit. (See Commitment)",
Accelerated New Growth,"MGL Chapter 59 ?2A(a) is a local option statute that allows a community to value and assess new growth (e.g., new construction or other physical additions to real property) occurring by June 30 for the fiscal year beginning July 1. This local adoption law, commonly referred to as Chapter 653, allows the community to assess improved parcels, which ensures the property owner is paying his fair share of the cost of government operations for the fiscal year beginning July 1 rather than a year later.",
Accounting System,"The total structure of records and procedures that identify record, classify, and report information on the financial position and operations of a governmental unit or any of its funds, account groups, and organizational components.",
Accrued Interest,"The amount of interest that has accumulated on the bond since the date of the last interest payment, and in the sale of a bond, the amount accrued up to but not including the date of delivery (settlement date). (See Interest)",
Ad Valorem,"A Latin phrase meaning according to the value. For example, the property tax is an Ad Valorem tax because it is based on the full and fair cash value (FFCV) of the real or personal property. (See Assessed Value)",
Additional Assistance,"This state aid program provides unrestricted, general fund revenue to a certain number of communities through the Cherry Sheet. Additional Assistance evolved from the old resolution aid formula of the 1980s, but following state budget cuts, it was level funded beginning in FY92 and then subsequently reduced.",
Advance Refunding of Debt,"This occurs when new debt is issued to replace or redeem old debt before the maturity or call date of the old debt. Under these circumstances, the proceeds of the new debt must be placed in escrow and used to pay interest on old, outstanding debt as it becomes due, and to pay the principal on the old debt either as it matures or at an earlier call date. (See Refunding of Debt, Current Refunding of Debt)",
Agency Fund,"This is one of four types of fiduciary funds. It is used to report resources in a purely custodial capacity by a governmental unit. Agency funds generally involve only the receipt, temporary investment, and periodic transfer of money to fulfill legal obligations to individuals, private organizations, or other governments. For example, certain employee payroll withholdings typically accumulate in an agency fund until due and forwarded to the federal government, health care provider, and so forth.",
Amended New Growth,"When the assessors discover properties that were inadvertently omitted that would have been new growth (See Omitted and Revised Values), they may submit an ?Amended Tax Base Growth Report (Form LA-13A) to BLA before setting the tax rate for the next fiscal year. BLA will certify the amount of any additional tax base growth and notify BOA. BOA will then recalculate the community?s levy limit and notify the assessors of the new base for the purposes of calculating the succeeding year?s levy limit.",
Amortization,The gradual repayment of an obligation over time and in accordance with a pre- determined payment schedule.,
Appellate Tax Board (ATB),"Appointed by the governor, the ATB has jurisdiction to decide appeals from local decisions relating to property taxes, motor vehicle excises, state owned land (SOL) valuations, exemption eligibility, property classification, and equalized valuations.",
Appropriation,"An authorization granted by a town meeting, city council or other legislative body to expend money and incur obligations for specific public purposes. An appropriation is usually limited in amount and as to the time period within which it may be expended. (See Encumbrance, Line-Item Transfer, Free Cash)",
Arbitrage,"As applied to municipal debt, the investment of tax-exempt bonds or note proceeds in higher yielding, taxable securities. Section 103 of the Internal Revenue Service (IRS) Code restricts this practice and requires (beyond certain limits) that earnings be rebated (paid) to the IRS.",
Arbitrage Certificate,"A certified statement requested by bond or note purchasers, and by law firms serving as bond counsel in Massachusetts that borrowing proceeds of a specified bond issue shall not be used for the purposes of arbitrage.",
Arm?s Length Sale,"A transfer of property ownership between a willing seller not under compulsion to sell and a willing buyer not under compulsion to buy. The sale price is the amount of money, or its equivalent, that probably would be arrived at through fair negotiations taking into consideration the uses to which the property may be put and allowing a reasonable time for exposure to the market.",
Assessed Valuation,"A value assigned to real estate or other property by a government as the basis for levying taxes. In Massachusetts, assessed valuation is based on the property's full and fair cash value as set by the Assessors. (See Ad Valorem; Full And Fair Cash Value)",
Assessment date,"The date property tax liability is fixed. In Massachusetts, property taxes are assessed as of the January 1 prior to the fiscal year. Assessors determine the physical status of taxable real and personal property, its ownership, fair cash value and usage classification as of that date. By local option (MGL Ch. 59 ?2D), the physical status of real property on June 30 is deemed to be its condition on the previous January 1.",
Assessment Sale Ratio (ASR),Property assessed value divided by sales price. Expresses the relationship between the assessed value of a sold property and the most recent sales price of the property. The ASR is instrumental in the triennial certification of municipal property values by BLA.,
Assessors? Maps,(See Tax Maps),
ATFC,Association of Town Finance Committees,
Audit,"An examination of a community's financial systems, procedures, and data by a certified public accountant (independent auditor), and a report on the fairness of financial statements and on local compliance with statutes and regulations. The audit serves as a valuable management tool for evaluating the fiscal performance of a community.",
