LEVEL1,LEVEL2,LEVEL3,TOOLTIP,SOURCE,SOURCE URL,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,LEVEL
Zero,Zero,Zero,,,,0,0,0,0,0,0,0,3982372.75,3982372.75,0,0,3
Zero,,Zero Total,,,,0,0,0,0,0,0,0,3982372.75,3982372.75,0,0,2
Zero Total,,,,,,0,0,0,0,0,0,0,3982372.75,3982372.75,0,0,1
One,One,One,,,,0,0,0,0,0,20008459.42,16968249.32,13144342.55,15418659.41,0,0,3
One,,Two,,,,0,0,0,0,0,3496428.21,3385231.14,3505872,3147599.92,0,0,3
One,,Three,,,,0,0,0,0,0,22055648.79,22627044.16,23179633.52,22021084.08,0,0,3
One,,Four,,,,0,0,0,0,0,93788740.02,91796879.88,81533552.01,80130575.94,0,0,3
One,,Five,,,,0,0,0,0,0,4924363.48,5081343.24,6302057.79,5796107.56,0,0,3
One,,Six,,,,0,0,0,0,0,9453456.52,10232698.4,9006959.91,7985112.5,0,0,3
One,,Seven,,,,0,0,0,0,0,7635988.07,6219511.6,7085151.12,5792355.11,0,0,3
One,,Eight,,,,0,0,0,0,0,10440234.04,10499824.29,12728842.92,12105379.1,0,0,3
One,,Ten,,,,0,0,0,0,0,5437430.02,6861556,6145957.8,7678165.93,0,0,3
One,,Eleven,,,,0,0,0,0,0,9149115.47,10207826.79,15638643.8,12786495.13,0,0,3
One,,One Total,,,,0,0,0,0,0,186389864,183880164.8,178271013.4,172861534.7,0,0,2
One,Two,One,,,,0,0,0,0,0,5961333,4925119.01,3648460,1814429.2,0,0,3
One,,Two Total,,,,0,0,0,0,0,5961333,4925119.01,3648460,1814429.2,0,0,2
One,Three,One,,,,0,0,0,0,0,25823941.38,25436861.36,23222649.47,26035509.02,0,0,3
One,,Three Total,,,,0,0,0,0,0,25823941.38,25436861.36,23222649.47,26035509.02,0,0,2
One,Four,One,,,,0,0,0,0,0,13846828.12,13897924.83,13450888.39,13379334.74,0,0,3
One,,Two,,,,0,0,0,0,0,4467858,4529794.14,4800477.89,4740662.98,0,0,3
One,,Six,,,,0,0,0,0,0,8292241.19,8048296.29,7518674.9,7724674.39,0,0,3
One,,Seven,,,,0,0,0,0,0,1265157.14,1151701.45,1071837.7,912053.23,0,0,3
One,,Four Total,,,,0,0,0,0,0,27872084.45,27627716.71,26841878.88,26756725.34,0,0,2
One,Five,Two,,,,0,0,0,0,0,18197473.88,16397592.57,14729726.28,14133416.74,0,0,3
One,,Five Total,,,,0,0,0,0,0,18197473.88,16397592.57,14729726.28,14133416.74,0,0,2
One,Six,One,,,,0,0,0,0,0,4586985.79,3600803.99,3821440.45,3716424.31,0,0,3
One,,Two,,,,0,0,0,0,0,725661.76,460247.81,279623.3,305410.95,0,0,3
One,,Six Total,,,,0,0,0,0,0,5312647.55,4061051.8,4101063.75,4021835.26,0,0,2
One,Seven,One,,,,0,0,0,0,0,1559499.98,1462203,1334503.97,1321398.62,0,0,3
One,,Seven Total,,,,0,0,0,0,0,1559499.98,1462203,1334503.97,1321398.62,0,0,2
One,Eight,One,,,,0,0,0,0,0,4565546.04,4596319.6,4010131.96,3513325.03,0,0,3
One,,Two,,,,0,0,0,0,0,10736830.82,11132570,10836883,11131260.52,0,0,3
One,,Eight Total,,,,0,0,0,0,0,15302376.86,15728889.6,14847014.96,14644585.55,0,0,2
One,Nine,One,,,,0,0,0,0,0,6981248,16536620.52,17674319.13,16641324.66,0,0,3
One,,Two,,,,0,0,0,0,0,14221306.91,11960127.19,15817334.22,11481892.77,0,0,3
One,,Three,,,,0,0,0,0,0,95859425,96663473,93299331,91682464,0,0,3
One,,Four,,,,0,0,0,0,0,38943,40391,30541,23220,0,0,3
One,,Five,,,,0,0,0,0,0,188541,187581,166678,88028.01,0,0,3
One,,Eight,,,,0,0,0,0,0,1065637,854443,737825,719740.7,0,0,3
One,,Nine Total,,,,0,0,0,0,0,118355100.9,126242635.7,127726028.4,120636670.1,0,0,2
One,Ten,Two,,,,0,0,0,0,0,76441933.45,70831715,72420972,71835676,0,0,3
One,,Three,,,,0,0,0,0,0,173268,168722,150945,140813,0,0,3
One,,Five,,,,0,0,0,0,0,25168003.95,24851816.15,30575213.72,30383289.3,0,0,3
One,,Ten Total,,,,0,0,0,0,0,101783205.4,95852253.15,103147130.7,102359778.3,0,0,2
One,Eleven,One,,,,0,0,0,0,0,1974606.5,1902515.21,1761913.76,1700474.82,0,0,3
One,,Eleven Total,,,,0,0,0,0,0,1974606.5,1902515.21,1761913.76,1700474.82,0,0,2
One,Twelve,One,,,,0,0,0,0,0,29613474.71,28564340.08,27354597.01,27001199.83,0,0,3
One,,Two,,,,0,0,0,0,0,17879360.29,16437896.53,16877651.5,16466035.62,0,0,3
One,,Three,,,,0,0,0,0,0,16819300.48,15753679.94,14335209.28,13348541.43,0,0,3
One,,Four,,,,0,0,0,0,0,11757092.84,11251833.77,10862770.43,10362238.77,0,0,3
One,,Six,,,,0,0,0,0,0,2000000,1586000,1723305.48,1400000,0,0,3
One,,Seven,,,,0,0,0,0,0,4457389.25,4706991.24,4534048.25,4696195.52,0,0,3
One,,Eight,,,,0,0,0,0,0,170145,319918.68,242300.93,238374.38,0,0,3
One,,Nine,,,,0,0,0,0,0,4470015,4566382,5012261,5327228,0,0,3
One,,Twelve Total,,,,0,0,0,0,0,87166777.57,83187042.24,80942143.88,78839813.55,0,0,2
One,Fourteen,One,,,,0,0,0,0,0,5000,5000,5000,5000,0,0,3
One,,Two,,,,0,0,0,0,0,3204516,3308333,3172286.11,2896146.28,0,0,3
One,,Four,,,,0,0,0,0,0,709750.02,615949.12,538317.36,546607.79,0,0,3
One,,Fourteen Total,,,,0,0,0,0,0,3919266.02,3929282.12,3715603.47,3447754.07,0,0,2
One,Nineteen,One,,,,0,0,0,0,0,6488098.69,3169365.58,3370454.17,1083406.64,0,0,3
One,,Nineteen Total,,,,0,0,0,0,0,6488098.69,3169365.58,3370454.17,1083406.64,0,0,2
One,Twenty,One,,,,0,0,0,0,0,2808000,1750000,1896700.74,3518000,0,0,3
