LEVEL1,LEVEL2,LEVEL3,TOOLTIP,SOURCE,SOURCE URL,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,LEVEL
Property Taxes,General Property Taxes,Previous Year Limit,The levy limit restricts the real and personal property taxes imposed by a city or town the previous fiscal year,,,63315927,65538838,67820221,70242682,72655500,74994054,77526109,79914262,82362118,84871171,87442950,3
Property Taxes,General Property Taxes,Plus 2.5%,"Massachusetts limits the growth of the general property levy to 2 1/2 percent each year (exclusive of New Growth, overrides or exclusions)",,,1582898,1638471,1695506,1756067,1816387,1874851,1938153,1997857,2059053,2121779,2186074,3
Property Taxes,General Property Taxes,Plus New Growth,"Additional tax revenue generated by new construction, renovations and other increases in the property tax base during a calendar year.",,,640013,642912,726955,656751,522167,657203,450000,450000,450000,450000,450000,3
Property Taxes,General Property Taxes Total,,,,,65540846,67822230,70244692,72657511,74996066,77528121,79916276,82364134,84873187,87444967,90081042,2
Property Taxes,Overrides,2006 override,An override is a vote by a community at an election to permanently increase the levy limt.,,,6303750,6461344,6622877,6788449,6958161,7132115,7310417,7493178,7680507,7872520,8069333,3
Property Taxes,Overrides,2012 override,"An override is a vote by a community at an election to permanently increase the levy limt. June 7, 2011 voters passed a $6.5 million override",,,0,0,0,0,6490000,6652250,6818556,6989020,7163746,7342839,7526410,3
Property Taxes,Overrides Total,,,,,6303750,6461344,6622877,6788449,13448161,13784365,14128973,14482198,14844253,15215359,15595743,2
Property Taxes,Debt Exclusions,Debt Exclusion - Schools (10 year),"An action taken by a community through a referendum vote to raise the funds necessary to pay debt service costs for a particular project from the property tax levy, but outside the limits under Proposition 2 1/2. The amount is added to the levy limit for the life of the debt only and may increase the levy above the levy ceiling.",,,1436024,1119201,1025542,945868,682156,840116,1095581,1002169,893361,785159,687555,3
Property Taxes,Debt Exclusions,Debt Exclusion - Symmes,"An action taken by a community through a referendum vote to raise the funds necessary to pay debt service costs for a particular project from the property tax levy, but outside the limits under Proposition 2 1/2. The amount is added to the levy limit for the life of the debt only and may increase the levy above the levy ceiling.",,,0,0,0,0,307130,278540,307130,307130,307130,307130,307130,3
Property Taxes,Debt Exclusions Total,,,,,1436024,1119201,1025542,945868,989286,1118656,1402711,1309299,1200491,1092289,994685,2
Property Taxes Total,,,,,,73280620,75402775,77893111,80391828,89433513,92431142,95447960,98155631,100917931,103752615,106671470,1
