FLOW,LEVEL1,LEVEL2,LEVEL3,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,LEVEL
REVENUES,Property Taxes,General Property Taxes,Previous Year Limit,63315927,65538838,67820221,70242682,72655500,74994054,77526109,79914262,82362118,84871171,87442950,3
REVENUES,Property Taxes,General Property Taxes,Plus 2.5%,1582898,1638471,1695506,1756067,1816387,1874851,1938153,1997857,2059053,2121779,2186074,3
REVENUES,Property Taxes,General Property Taxes,Plus New Growth,640013,642912,726955,656751,522167,657203,450000,450000,450000,450000,450000,3
,,General Property Taxes Total,,65540846,67822230,70244692,72657511,74996066,77528121,79916276,82364134,84873187,87444967,90081042,2
REVENUES,Property Taxes,Overrides,2006 override,6303750,6461344,6622877,6788449,6958161,7132115,7310417,7493178,7680507,7872520,8069333,3
REVENUES,Property Taxes,Overrides,2012 override,0,0,0,0,6490000,6652250,6818556,6989020,7163746,7342839,7526410,3
,,Overrides Total,,6303750,6461344,6622877,6788449,13448161,13784365,14128973,14482198,14844253,15215359,15595743,2
REVENUES,Property Taxes,Debt Exclusions,Debt Exclusion - Schools (10 year),1436024,1119201,1025542,945868,682156,840116,1095581,1002169,893361,785159,687555,3
REVENUES,Property Taxes,Debt Exclusions,Debt Exclusion - Symmes,0,0,0,0,307130,278540,307130,307130,307130,307130,307130,3
,,Debt Exclusions Total,,1436024,1119201,1025542,945868,989286,1118656,1402711,1309299,1200491,1092289,994685,2
,Property Taxes Total,,,73280620,75402775,77893111,80391828,89433513,92431142,95447960,98155631,100917931,103752615,106671470,1
REVENUES,State Aid,Education,Chapter 70,5814120,6229294,6104708,6632057,6880580,8109496,9992259,9888741,9984665,10081548,10179400,3
REVENUES,State Aid,Education,School transportation,,,,,,,,,,,,3
REVENUES,State Aid,Education,School construction,2546280,2540434,2531085,2531085,2531085,2474796,2474773,2474773,2474773,2474773,1615914,3
,,Education Total,,8360400,8769728,8635793,9163142,9411665,10584292,12467032,12363514,12459438,12556321,11795314,2
REVENUES,State Aid,Education offsets,Racial Equality,0,0,0,0,0,0,0,0,0,0,0,3
REVENUES,State Aid,Education offsets,School Lunch,20794,19261,20783,16604,19545,19029,18819,18624.26007,18804.57482,18987.14351,19171.51534,3
,,Education offsets Total,,20794,19261,20783,16604,19545,19029,18819,18624.26007,18804.57482,18987.14351,19171.51534,2
REVENUES,State Aid,General Government,"Lottery, beano, charity",4950398,4950398,0,0,0,0,0,0,0,0,0,3
REVENUES,State Aid,General Government,Additional assistance,4491775,4491775,0,0,0,0,0,0,0,0,0,3
REVENUES,State Aid,General Government,Highway fund,0,0,0,0,0,0,0,0,0,0,0,3
REVENUES,State Aid,General Government,"Exemptions: Vets, Blind Persons & Surviving Spouses",117263,111588,187014,190609,188476,178152,167052,165321,166925,168545,170181,3
REVENUES,State Aid,General Government,Exemptions: Elderly,74296,77308,0,0,0,0,0,0,0,0,0,3
,,General Government Total,,9633732,9631069,187014,190609,188476,178152,167052,165321,166925,168545,170181,2
REVENUES,State Aid,Offset receipts,Public Libraries,58270,60716,40707,41943,42540,42109,41747,41315,41715,42120,42529,3
REVENUES,State Aid,Offset receipts,Other offsets,0,0,0,0,0,0,0,0,0,0,0,3
,,Offset receipts Total,,58270,60716,40707,41943,42540,42109,41747,41315,41715,42120,42529,2
,State Aid Total,,,18073196,18480774,8884297,9412298,9662226,10823582,12694650,12588774.26,12686882.57,12785973.14,12027195.52,1
REVENUES,Local Receipts,Motor Vehicle Excise,,3951799,3775637,3757149,3898459,3937079,3700000,3750000,3800000,3850000,3900000,3950000,3
,,Motor Vehicle Excise Total,,3951799,3775637,3757149,3898459,3937079,3700000,3750000,3800000,3850000,3900000,3950000,2
REVENUES,Local Receipts,Other Excise,,123522,136490,246210,532896,569131,550000,550000,550000,550000,550000,550000,3
,,Other Excise Total,,123522,136490,246210,532896,569131,550000,550000,550000,550000,550000,550000,2
REVENUES,Local Receipts,Tax Penalties & Interest,,186195,172007,267528,338834,252492,185000,200000,200000,200000,200000,200000,3
,,Tax Penalties & Interest Total,,186195,172007,267528,338834,252492,185000,200000,200000,200000,200000,200000,2
REVENUES,Local Receipts,PILOT,,23969,10967,6971,0,13973,0,38000,38000,38000,38000,38000,3
,,PILOT Total,,23969,10967,6971,0,13973,0,38000,38000,38000,38000,38000,2
REVENUES,Local Receipts,Fees,,962064,1172324,1252886,1233678,1262118,1140000,1125000,1125000,1125000,1125000,1125000,3
,,Fees Total,,962064,1172324,1252886,1233678,1262118,1140000,1125000,1125000,1125000,1125000,1125000,2
REVENUES,Local Receipts,Rentals,,818604,783593,791045,733270,783144,613000,618000,618000,618000,618000,618000,3
,,Rentals Total,,818604,783593,791045,733270,783144,613000,618000,618000,618000,618000,618000,2
REVENUES,Local Receipts,Departmental Revenue - Schools,,186745,209034,135451,254343,198121,150000,150000,150000,150000,150000,150000,3
,,Departmental Revenue - Schools Total,,186745,209034,135451,254343,198121,150000,150000,150000,150000,150000,150000,2
REVENUES,Local Receipts,Departmental Revenue - Libraries,,53057,63433,65863,56259,56141,55000,55000,55000,55000,55000,55000,3
,,Departmental Revenue - Libraries Total,,53057,63433,65863,56259,56141,55000,55000,55000,55000,55000,55000,2
REVENUES,Local Receipts,Departmental Revenue - Cemetaries,,280400,308350,267675,302075,313997,300000,300000,300000,300000,300000,300000,3
,,Departmental Revenue - Cemetaries Total,,280400,308350,267675,302075,313997,300000,300000,300000,300000,300000,300000,2
REVENUES,Local Receipts,Departmental Revenue - Recreation,,0,0,0,0,0,0,0,0,0,0,0,3
,,Departmental Revenue - Recreation Total,,0,0,0,0,0,0,0,0,0,0,0,2
REVENUES,Local Receipts,Departmental Revenue - Other,,104031,147586,146119,172603,347128,225000,225000,225000,225000,225000,225000,3
,,Departmental Revenue - Other Total,,104031,147586,146119,172603,347128,225000,225000,225000,225000,225000,225000,2
REVENUES,Local Receipts,Licenses & Permits,,1247074,1134292,1202871,1219481,2085371,1385000,1384000,1384000,1384000,1384000,1384000,3
,,Licenses & Permits Total,,1247074,1134292,1202871,1219481,2085371,1385000,1384000,1384000,1384000,1384000,1384000,2
REVENUES,Local Receipts,Special Assessments,,2112,1659,1410,0,0,0,0,0,0,0,0,3
,,Special Assessments Total,,2112,1659,1410,0,0,0,0,0,0,0,0,2
REVENUES,Local Receipts,Fines & Forfeits,,54483,61870,46800,59965,62688,60000,60000,60000,60000,60000,60000,3
,,Fines & Forfeits Total,,54483,61870,46800,59965,62688,60000,60000,60000,60000,60000,60000,2
REVENUES,Local Receipts,Investment Income,,1030217,410116,102254,55430,67150,50000,50000,50000,50000,50000,50000,3
,,Investment Income Total,,1030217,410116,102254,55430,67150,50000,50000,50000,50000,50000,50000,2
REVENUES,Local Receipts,Medicare Part D,,385218,327937,362941,381361,342932,42000,0,0,0,0,0,3
