LEVEL1,LEVEL2,LEVEL3,TOOLTIP,SOURCE,SOURCE URL,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,LEVEL
Zero,Zero,Zero,,,,0,0,0,0,0,0,0,0,0,0,0,3
Zero,,Zero Total,,,,0,0,0,0,0,0,0,0,0,0,0,2
Zero Total,,,,,,0,0,0,0,0,0,0,0,0,0,0,1
Tax Revenues,OneHundredOne,Six,,,,0,0,0,0,0,0,63231863.55,65464023.94,0,0,0,3
Tax Revenues,,Eight,,,,0,0,0,0,0,0,6371076.07,3136151.56,0,0,0,3
Tax Revenues,,Fourteen,,,,0,0,0,0,0,71342774.35,0,0,0,0,0,3
Tax Revenues,,Fifteen,,,,0,0,0,0,0,5041037.64,0,0,0,0,0,3
Tax Revenues,,Sixteen,,,,0,0,0,0,0,0,32000000,32000000,0,0,0,3
Tax Revenues,,TwentyThree,,,,0,0,0,0,0,28000000,0,0,0,0,0,3
Tax Revenues,,FourtyOne,,,,0,0,0,0,0,0,24831846.19,28101178.41,0,0,0,3
Tax Revenues,,FiftyThree,,,,0,0,0,0,0,0,4523572.59,4327139.32,0,0,0,3
Tax Revenues,,SixtyOne,,,,0,0,0,0,0,0,91609547.35,95552438.02,0,0,0,3
Tax Revenues,,Seventy,,,,0,0,0,0,0,0,96178318.74,93128281.88,0,0,0,3
Tax Revenues,,SeventySix,,,,0,0,0,0,0,0,33744176,33005728.89,0,0,0,3
Tax Revenues,,NinetyEight,,,,0,0,0,0,0,0,8753.08,5128.03,0,0,0,3
Tax Revenues,,OneHundredOne Total,,,,0,0,0,0,0,104383812,352499153.6,354720070.1,0,0,0,2
Tax Revenues,OneHundredTwo,TwentyThree,,,,0,0,0,0,0,4496278.83,0,0,0,0,0,3
Tax Revenues,,TwentySeven,,,,0,0,0,0,0,23528029.91,0,0,0,0,0,3
Tax Revenues,,FourtyTwo,,,,0,0,0,0,0,95047006.27,0,0,0,0,0,3
Tax Revenues,,FiftyThree,,,,0,0,0,0,0,103969463.7,0,0,0,0,0,3
Tax Revenues,,NinetyNine,,,,0,0,0,0,0,72591.71,0,0,0,0,0,3
Tax Revenues,,OneHundredTwo Total,,,,0,0,0,0,0,227113370.4,0,0,0,0,0,2
Tax Revenues,OneHundredFour,NinetyNine,,,,0,0,0,0,0,0,74415.58,0,0,0,0,3
